,actor0,actor1,actor2,actor3
0,Govinda,Aishwarya Rai Bachchan,Jackie Shroff,Namrata Shirodkar
1,Aamir Khan,Gracy Singh,Rachel Shelley,Paul Blackthorne
2,Akshay Kumar,Sridevi,Gulshan Grover,Laxmikant Berde
3,Shah Rukh Khan,Madhuri Dixit,Salman Khan,Atul Agnihotri
4,Shah Rukh Khan,Juhi Chawla,Jackie Shroff,Nirmal Pandey
5,Shah Rukh Khan,Madhuri Dixit,Aishwarya Rai Bachchan,Jackie Shroff
6,Hrithik Roshan,Ameesha Patel,Kiran Kumar,Mukesh Tiwari
7,Amitabh Bachchan,Jaya Bhaduri,Shah Rukh Khan,Kajol
8,Saif Ali Khan,Hrithik Roshan,Esha Deol,Alok Nath
9,Jackie Shroff,Hrithik Roshan,Kareena Kapoor,Amrish Puri
10,Karisma Kapoor,Rekha,Manoj Bajpayee,Rajit Kapoor
11,Preity Zinta,Salman Khan,Rani Mukerji,Amrish Puri
12,Hrithik Roshan,Kareena Kapoor,Abhishek Bachchan,Johnny Lever
13,Sunil Shetty,Raveena Tandon,Danny Denzongpa,Sadashiv Amrapurkar
14,Tabu,Atul Kulkarni,Rajpal Yadav,Shri Vallabh Vyas
15,Kajol,Rishi Kapoor,Rati Agnihotri,Sunil Shetty
16,Dev Anand,Hema Malini,Shammi Kapoor,Rekha
17,Sunny Deol,Preity Zinta,Jackie Shroff,Om Puri
18,Rekha,Naseeruddin Shah,Arshad Warsi,Suman Ranganathan
19,Rani Mukerji,Hrithik Roshan,Kareena Kapoor,Uday Chopra
20,Raveena Tandon,Sayaji Shinde,Sanjay Suri,Raima Sen
21,Bobby Deol,Rahul Dev,Dinesh Hingoo,Vrajesh Hirjee
22,Sadashiv Amrapurkar,Vinay Anand,Pooja Batra,Govinda
23,Rani Mukerji,Govinda,Om Puri,Laxmikant Berde
24,Jackie Shroff,Manisha Koirala,Anupama Verma,Prasad Purandhare
25,Neha,Rajeshwari Sachdev,Gulshan Grover,Nina Kulkarni
26,Akshay Kumar,Bobby Deol,Kareena Kapoor,Bipasha Basu
27,Sanjay Dutt,Govinda,Twinkle Khanna,Monica Bedi
28,Tinnu Anand,Raj Babbar,Laxmikant Berde,Avtar Gill
29,Jimi Mistry,Heather Graham,Marisa Tomei,Michael McKean
30,Fardeen Khan,Ravi Baswani,Kannu Gill,Sonali Kulkarni
31,Rani Mukerji,Abhishek Bachchan,Sushmita Sen,Jackie Shroff
32,Sunny Deol,Ameesha Patel,Amrish Puri,Lillete Dubey
33,Tusshar Kapoor,Kareena Kapoor,Amrish Puri,Rinke Khanna
34,Karan Nath,Aarti Agarwal,Vilas Ujawane,Bharat Dabholkar
35,Saif Ali Khan,Fardeen Khan,Aftab Shivdasani,Sonali Bendre
36,Puru Rajkumar,Dipti Bhatnagar,Kanchan,Laxmikant Berde
37,Amitabh Bachchan,Raveena Tandon,Manoj Bajpayee,Nandita Das
38,Priyanshu Chatterjee,Himanshu Malik,Sandali Sinha,Raqesh Vashisth
39,Anil Kapoor,Rani Mukerji,Amrish Puri,Johnny Lever
40,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta
41,Fardeen Khan,Reema Sen,Apoorva Agnihotri,Suman Ranganathan
42,Ajay Devgn,Madhuri Dixit,Preity Zinta,Vikram Gokhale
43,Rekha,Anil Kapoor,Jackie Shroff,Madhuri Dixit
44,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty,Mahesh Manjrekar
45,Sudhir Dalvi,Dharmendra,Vikram Gokhale,Rohini Hattangadi
46,Neeru Bajwa,Ruby Bhatia,Vekeana Dhillon,Vikram Dhillon
47,Ajay Devgn,Mohanlal,Manisha Koirala,Seema Biswas
